project_id,date,planned_budget,actual_spent,cumulative_planned,cumulative_actual,variance_percentage
PROJ_001,2024-04-12,50855.67,56504.74,0.0,56504.74,9.26
PROJ_001,2024-05-12,50855.67,38968.62,50159.01,95473.36,7.43
PROJ_001,2024-06-11,50855.67,44423.06,100318.03,139896.42,6.49
PROJ_001,2024-07-11,50855.67,45052.23,150477.04,184948.65,5.65
PROJ_001,2024-08-10,50855.67,43226.0,200636.05,228174.65,4.51
PROJ_001,2024-09-09,50855.67,51313.54,250795.07,279488.19,4.7
PROJ_001,2024-10-09,50855.67,51940.53,300954.08,331428.73,4.99
PROJ_001,2024-11-08,50855.67,46488.77,351113.1,377917.5,4.39
PROJ_001,2024-12-08,50855.67,46394.28,401272.11,424311.77,3.78
PROJ_001,2025-01-07,50855.67,60881.02,451431.12,485192.79,5.53
PROJ_001,2025-02-06,50855.67,59682.98,501590.14,544875.76,7.09
PROJ_002,2024-01-02,25279.58,22364.28,0.0,22364.28,7.37
PROJ_002,2024-02-01,25279.58,31555.82,24933.29,53920.1,9.56
PROJ_002,2024-03-02,25279.58,32147.77,49866.58,86067.87,11.93
PROJ_002,2024-04-01,25279.58,22651.66,74799.86,108719.53,11.18
PROJ_002,2024-05-01,25279.58,23071.54,99733.15,131791.06,10.57
PROJ_002,2024-05-31,25279.58,25365.04,124666.44,157156.11,10.71
PROJ_002,2024-06-30,25279.58,31970.39,149599.73,189126.5,13.03
PROJ_002,2024-07-30,25279.58,30987.5,174533.01,220114.0,15.03
PROJ_002,2024-08-29,25279.58,19251.43,199466.3,239365.44,13.15
PROJ_002,2024-09-28,25279.58,23652.55,224399.59,263017.99,12.73
PROJ_002,2024-10-28,25279.58,26089.1,249332.88,289107.09,13.11
PROJ_003,2024-01-15,23721.17,23765.75,0.0,23765.75,8.35
PROJ_003,2024-02-14,23721.17,19364.01,23396.22,43129.76,6.93
PROJ_003,2024-03-15,23721.17,28828.1,46792.44,71957.86,8.84
PROJ_003,2024-04-14,23721.17,26239.51,70188.66,98197.37,9.84
PROJ_003,2024-05-14,23721.17,28530.52,93584.88,126727.89,11.64
PROJ_003,2024-06-13,23721.17,28827.35,116981.1,155555.24,13.55
PROJ_003,2024-07-13,23721.17,27255.94,140377.32,182811.18,14.91
PROJ_003,2024-08-12,23721.17,22855.97,163773.53,205667.15,14.72
PROJ_004,2024-05-11,44969.08,47951.8,0.0,47951.8,8.89
PROJ_004,2024-06-10,44969.08,35805.25,44353.07,83757.04,7.3
PROJ_004,2024-07-10,44969.08,49654.29,88706.14,133411.33,8.28
PROJ_004,2024-08-09,44969.08,36314.87,133059.21,169726.2,6.79
PROJ_005,2024-01-08,55028.08,61431.69,0.0,61431.69,9.3
PROJ_005,2024-02-07,55028.08,46100.27,54274.27,107531.95,8.07
PROJ_005,2024-03-08,55028.08,42400.83,108548.55,149932.79,6.27
PROJ_006,2024-01-14,82323.25,65790.33,0.0,65790.33,6.66
PROJ_006,2024-02-13,82323.25,57724.67,81195.53,123515.0,4.28
PROJ_006,2024-03-14,82323.25,93127.66,162391.07,216642.67,5.49
PROJ_006,2024-04-13,82323.25,93802.46,243586.6,310445.12,6.77
PROJ_006,2024-05-13,82323.25,83060.87,324782.14,393505.99,6.96
PROJ_006,2024-06-12,82323.25,65596.62,405977.67,459102.61,5.38
PROJ_006,2024-07-12,82323.25,61753.35,487173.21,520855.96,3.41
PROJ_006,2024-08-11,82323.25,58571.13,568368.74,579427.1,1.12
PROJ_006,2024-09-10,82323.25,65813.23,649564.27,645240.33,-0.44
PROJ_006,2024-10-10,82323.25,101629.15,730759.81,746869.48,1.63
PROJ_006,2024-11-09,82323.25,69556.73,811955.34,816426.21,0.45
PROJ_006,2024-12-09,82323.25,75125.14,893150.88,891551.34,-0.16
PROJ_007,2024-01-24,61026.25,46575.68,0.0,46575.68,6.36
PROJ_007,2024-02-23,61026.25,50860.3,60190.27,97435.98,5.09
PROJ_007,2024-03-24,61026.25,61730.17,120380.55,159166.15,5.3
PROJ_007,2024-04-23,61026.25,64971.7,180570.82,224137.85,5.95
PROJ_007,2024-05-23,61026.25,51702.13,240761.1,275839.98,4.79
PROJ_007,2024-06-22,61026.25,44832.28,300951.37,320672.26,2.69
PROJ_007,2024-07-22,61026.25,57036.34,361141.64,377708.6,2.26
PROJ_007,2024-08-21,61026.25,51293.91,421331.92,429002.51,1.05
PROJ_007,2024-09-20,61026.25,50757.51,481522.19,479760.01,-0.24
PROJ_008,2024-05-18,26165.5,33385.02,0.0,33385.02,10.63
PROJ_008,2024-06-17,26165.5,27991.34,25807.07,61376.36,11.33
PROJ_008,2024-07-17,26165.5,27058.45,51614.14,88434.81,11.73
PROJ_008,2024-08-16,26165.5,24843.23,77421.21,113278.04,11.42
PROJ_009,2024-03-12,45939.92,43981.34,0.0,43981.34,7.98
PROJ_009,2024-04-11,45939.92,47067.42,45310.6,91048.76,8.3
PROJ_009,2024-05-11,45939.92,51354.3,90621.21,142403.06,9.39
PROJ_009,2024-06-10,45939.92,51511.86,135931.81,193914.92,10.52
PROJ_009,2024-07-10,45939.92,36890.5,181242.41,230805.43,8.99
PROJ_009,2024-08-09,45939.92,45943.02,226553.01,276748.45,9.11
PROJ_009,2024-09-08,45939.92,43513.13,271863.62,320261.58,8.78
PROJ_009,2024-10-08,45939.92,56153.1,317174.22,376414.69,10.75
PROJ_009,2024-11-07,45939.92,49562.34,362484.82,425977.03,11.52
PROJ_009,2024-12-07,45939.92,46835.86,407795.42,472812.89,11.79
PROJ_010,2024-05-10,16567.17,12744.07,0.0,12744.07,6.41
PROJ_010,2024-06-09,16567.17,17617.24,16340.22,30361.31,7.05
PROJ_010,2024-07-09,16567.17,12762.06,32680.44,43123.37,5.25
PROJ_010,2024-08-08,16567.17,14948.95,49020.66,58072.32,4.55
PROJ_010,2024-09-07,16567.17,13016.91,65360.88,71089.23,2.88
PROJ_010,2024-10-07,16567.17,18476.44,81701.1,89565.67,3.96
PROJ_010,2024-11-06,16567.17,13647.22,98041.32,103212.89,2.6
PROJ_010,2024-12-06,16567.17,15492.22,114381.53,118705.11,2.17
PROJ_010,2025-01-05,16567.17,20500.29,130721.75,139205.4,4.27
PROJ_010,2025-02-04,16567.17,13627.98,147061.97,152833.38,2.9
PROJ_011,2024-04-05,17156.5,17236.84,0.0,17236.84,8.37
PROJ_011,2024-05-05,17156.5,16325.49,16921.48,33562.34,8.08
PROJ_011,2024-06-04,17156.5,12196.12,33842.96,45758.45,5.79
PROJ_011,2024-07-04,17156.5,20170.12,50764.44,65928.57,7.37
PROJ_011,2024-08-03,17156.5,12720.3,67685.92,78648.88,5.32
PROJ_011,2024-09-02,17156.5,16891.48,84607.4,95540.36,5.31
PROJ_011,2024-10-02,17156.5,17781.12,101528.88,113321.48,5.73
PROJ_011,2024-11-01,17156.5,18478.51,118450.36,131799.99,6.48
PROJ_011,2024-12-01,17156.5,19098.26,135371.84,150898.24,7.54
PROJ_012,2024-03-02,98474.25,83896.46,0.0,83896.46,7.1
PROJ_012,2024-04-01,98474.25,69521.57,97125.29,153418.03,4.76
PROJ_012,2024-05-01,98474.25,111676.32,194250.58,265094.34,6.0
PROJ_012,2024-05-31,98474.25,100581.0,291375.86,365675.35,6.29
PROJ_012,2024-06-30,98474.25,118333.61,388501.15,484008.96,8.08
PROJ_012,2024-07-30,98474.25,117463.34,485626.44,601472.3,9.8
PROJ_013,2024-05-08,28154.0,33953.6,0.0,33953.6,10.05
PROJ_013,2024-06-07,28154.0,27902.21,27768.33,61855.82,10.09
PROJ_013,2024-07-07,28154.0,25343.58,55536.66,87199.4,9.37
PROJ_013,2024-08-06,28154.0,33079.12,83304.99,120278.52,10.94
PROJ_013,2024-09-05,28154.0,27331.24,111073.32,147609.76,10.81
PROJ_013,2024-10-05,28154.0,22806.58,138841.64,170416.34,9.35
PROJ_013,2024-11-04,28154.0,34150.36,166609.97,204566.7,11.23
PROJ_013,2024-12-04,28154.0,34616.35,194378.3,239183.06,13.26
PROJ_013,2025-01-03,28154.0,27584.89,222146.63,266767.95,13.21
PROJ_013,2025-02-02,28154.0,20986.55,249914.96,287754.5,11.2
PROJ_013,2025-03-04,28154.0,26259.11,277683.29,314013.61,10.75
PROJ_014,2024-02-28,74427.33,87982.23,0.0,87982.23,9.85
PROJ_014,2024-03-29,74427.33,92369.12,73407.78,180351.35,11.97
PROJ_014,2024-04-28,74427.33,61185.49,146815.56,241536.84,10.61
PROJ_014,2024-05-28,74427.33,55089.93,220223.34,296626.77,8.55
PROJ_014,2024-06-27,74427.33,91278.45,293631.12,387905.22,10.56
PROJ_014,2024-07-27,74427.33,69488.56,367038.9,457393.78,10.12
PROJ_014,2024-08-26,74427.33,76292.23,440446.68,533686.0,10.44
PROJ_015,2024-04-22,29745.92,38099.74,0.0,38099.74,10.67
PROJ_015,2024-05-22,29745.92,22010.16,29338.44,60109.9,8.62
PROJ_015,2024-06-21,29745.92,32393.03,58676.88,92502.93,9.48
PROJ_015,2024-07-21,29745.92,22144.74,88015.32,114647.68,7.46
PROJ_015,2024-08-20,29745.92,27523.34,117353.75,142171.02,6.95
PROJ_016,2024-06-08,84924.5,100405.28,0.0,100405.28,9.85
PROJ_016,2024-07-08,84924.5,81534.6,83761.15,181939.88,9.63
PROJ_016,2024-08-07,84924.5,110258.28,167522.3,292198.15,12.23
PROJ_016,2024-09-06,84924.5,87933.85,251283.45,380132.0,12.64
PROJ_016,2024-10-06,84924.5,75811.87,335044.6,455943.87,11.86
PROJ_016,2024-11-05,84924.5,70662.86,418805.75,526606.73,10.58
PROJ_016,2024-12-05,84924.5,77307.82,502566.9,603914.55,9.94
PROJ_016,2025-01-04,84924.5,78429.47,586328.05,682344.02,9.42
PROJ_017,2024-04-07,63248.83,46881.82,0.0,46881.82,6.18
PROJ_017,2024-05-07,63248.83,58299.27,62382.41,105181.08,5.64
PROJ_017,2024-06-06,63248.83,61891.71,124764.82,167072.79,5.57
PROJ_017,2024-07-06,63248.83,71701.58,187147.23,238774.37,6.8
PROJ_017,2024-08-05,63248.83,69196.61,249529.64,307970.98,7.7
PROJ_017,2024-09-04,63248.83,71171.34,311912.05,379142.32,8.86
