project_id,stage_name,stage_order,planned_start,planned_end,actual_start,completion_percentage,status,milestone_met
PROJ_001,Initiation,1,2024-04-12,2024-05-24,2024-04-12,100.0,Completed,True
PROJ_001,Planning,2,2024-05-24,2024-07-06,2024-05-24,100.0,Completed,True
PROJ_001,Design,3,2024-07-06,2024-08-18,2024-07-06,100.0,Completed,False
PROJ_001,Procurement,4,2024-08-18,2024-09-30,2024-08-18,100.0,Completed,True
PROJ_001,Construction,5,2024-09-30,2024-11-12,2024-09-30,100.0,Completed,True
PROJ_001,Testing,6,2024-11-12,2024-12-25,2024-11-12,100.0,Completed,True
PROJ_001,Handover,7,2024-12-25,2025-02-06,2024-12-25,16.0,In Progress,False
PROJ_002,Initiation,1,2024-01-02,2024-02-17,2024-01-02,100.0,Completed,True
PROJ_002,Planning,2,2024-02-17,2024-04-03,2024-02-17,100.0,Completed,True
PROJ_002,Design,3,2024-04-03,2024-05-19,2024-04-03,100.0,Completed,True
PROJ_002,Procurement,4,2024-05-19,2024-07-04,2024-05-19,100.0,Completed,True
PROJ_002,Construction,5,2024-07-04,2024-08-19,2024-07-04,100.0,Completed,True
PROJ_002,Testing,6,2024-08-19,2024-10-04,2024-08-19,100.0,Completed,True
PROJ_002,Handover,7,2024-10-04,2024-11-20,2024-10-04,100.0,In Progress,False
PROJ_003,Initiation,1,2024-01-15,2024-02-15,2024-01-15,100.0,Completed,True
PROJ_003,Planning,2,2024-02-15,2024-03-17,2024-02-15,100.0,Completed,True
PROJ_003,Design,3,2024-03-17,2024-04-17,2024-03-17,100.0,Completed,True
PROJ_003,Procurement,4,2024-04-17,2024-05-19,2024-04-17,100.0,Completed,True
PROJ_003,Construction,5,2024-05-19,2024-06-19,2024-05-19,100.0,Completed,True
PROJ_003,Testing,6,2024-06-19,2024-07-20,2024-06-19,96.4,In Progress,True
PROJ_003,Handover,7,2024-07-20,2024-08-21,,0.0,Not Started,False
PROJ_004,Initiation,1,2024-05-11,2024-05-27,2024-05-11,100.0,Completed,True
PROJ_004,Planning,2,2024-05-27,2024-06-13,2024-05-27,100.0,Completed,True
PROJ_004,Design,3,2024-06-13,2024-06-30,2024-06-13,100.0,Completed,True
PROJ_004,Procurement,4,2024-06-30,2024-07-17,2024-06-30,100.0,Completed,True
PROJ_004,Construction,5,2024-07-17,2024-08-03,2024-07-17,100.0,Completed,False
PROJ_004,Testing,6,2024-08-03,2024-08-20,2024-08-03,100.0,Completed,True
PROJ_004,Handover,7,2024-08-20,2024-09-06,2024-08-20,100.0,In Progress,True
PROJ_005,Initiation,1,2024-01-08,2024-01-17,2024-01-08,100.0,Completed,True
PROJ_005,Planning,2,2024-01-17,2024-01-26,2024-01-17,100.0,Completed,True
PROJ_005,Design,3,2024-01-26,2024-02-04,2024-01-26,100.0,Completed,True
PROJ_005,Procurement,4,2024-02-04,2024-02-13,2024-02-04,100.0,Completed,False
PROJ_005,Construction,5,2024-02-13,2024-02-22,2024-02-13,100.0,Completed,False
PROJ_005,Testing,6,2024-02-22,2024-03-02,2024-02-22,100.0,Completed,True
PROJ_005,Handover,7,2024-03-02,2024-03-12,2024-03-02,11.1,In Progress,False
PROJ_006,Initiation,1,2024-01-14,2024-03-01,2024-01-14,100.0,Completed,False
PROJ_006,Planning,2,2024-03-01,2024-04-18,2024-03-01,100.0,Completed,False
PROJ_006,Design,3,2024-04-18,2024-06-04,2024-04-18,100.0,Completed,False
PROJ_006,Procurement,4,2024-06-04,2024-07-22,2024-06-04,100.0,Completed,False
PROJ_006,Construction,5,2024-07-22,2024-09-07,2024-07-22,100.0,Completed,True
PROJ_006,Testing,6,2024-09-07,2024-10-25,2024-09-07,100.0,Completed,True
PROJ_006,Handover,7,2024-10-25,2024-12-12,2024-10-25,100.0,In Progress,True
PROJ_007,Initiation,1,2024-01-24,2024-02-28,2024-01-24,100.0,Completed,True
PROJ_007,Planning,2,2024-02-28,2024-04-03,2024-02-28,100.0,Completed,False
PROJ_007,Design,3,2024-04-03,2024-05-08,2024-04-03,100.0,Completed,True
PROJ_007,Procurement,4,2024-05-08,2024-06-12,2024-05-08,100.0,Completed,True
PROJ_007,Construction,5,2024-06-12,2024-07-17,2024-06-12,100.0,Completed,False
PROJ_007,Testing,6,2024-07-17,2024-08-21,2024-07-17,100.0,Completed,False
PROJ_007,Handover,7,2024-08-21,2024-09-26,2024-08-21,20.9,In Progress,False
PROJ_008,Initiation,1,2024-05-18,2024-06-02,2024-05-18,100.0,Completed,False
PROJ_008,Planning,2,2024-06-02,2024-06-18,2024-06-02,100.0,Completed,True
PROJ_008,Design,3,2024-06-18,2024-07-04,2024-06-18,100.0,Completed,True
PROJ_008,Procurement,4,2024-07-04,2024-07-19,2024-07-04,100.0,Completed,True
PROJ_008,Construction,5,2024-07-19,2024-08-04,2024-07-19,100.0,Completed,True
PROJ_008,Testing,6,2024-08-04,2024-08-20,2024-08-04,100.0,Completed,True
PROJ_008,Handover,7,2024-08-20,2024-09-05,2024-08-20,100.0,In Progress,True
PROJ_009,Initiation,1,2024-03-12,2024-04-23,2024-03-12,100.0,Completed,True
PROJ_009,Planning,2,2024-04-23,2024-06-04,2024-04-23,100.0,Completed,True
PROJ_009,Design,3,2024-06-04,2024-07-17,2024-06-04,100.0,Completed,True
PROJ_009,Procurement,4,2024-07-17,2024-08-28,2024-07-17,100.0,Completed,True
PROJ_009,Construction,5,2024-08-28,2024-10-10,2024-08-28,100.0,Completed,True
PROJ_009,Testing,6,2024-10-10,2024-11-21,2024-10-10,100.0,Completed,True
PROJ_009,Handover,7,2024-11-21,2025-01-03,2024-11-21,100.0,In Progress,True
PROJ_010,Initiation,1,2024-05-10,2024-06-19,2024-05-10,100.0,Completed,True
PROJ_010,Planning,2,2024-06-19,2024-07-30,2024-06-19,100.0,Completed,True
PROJ_010,Design,3,2024-07-30,2024-09-09,2024-07-30,100.0,Completed,True
