project_id,date,expected_progress,actual_progress,progress_variance,risk_level,team_size_today,weather_impact,quality_score
PROJ_001,2025-05-02,100,94.8,-5.2,Medium,5,None,0.79
PROJ_001,2025-05-05,100,97.6,-2.4,Low,6,None,0.9
PROJ_001,2025-05-06,100,98.2,-1.8,Low,6,None,0.94
PROJ_001,2025-05-07,100,97.9,-2.1,Low,4,Minor,0.91
PROJ_001,2025-05-08,100,95.4,-4.6,Low,7,None,0.93
PROJ_001,2025-05-09,100,94.6,-5.4,Medium,6,None,0.85
PROJ_001,2025-05-12,100,94.4,-5.6,Medium,3,None,1.0
PROJ_001,2025-05-13,100,100.0,0.0,Low,7,None,0.84
PROJ_001,2025-05-14,100,96.3,-3.7,Low,7,None,0.86
PROJ_001,2025-05-15,100,100.0,0.0,Low,3,Moderate,0.7
PROJ_001,2025-05-16,100,94.8,-5.2,Medium,7,None,0.92
PROJ_001,2025-05-19,100,83.4,-16.6,High,5,None,0.74
PROJ_001,2025-05-20,100,92.7,-7.3,Medium,4,None,0.91
PROJ_001,2025-05-21,100,100.0,0.0,Low,7,Minor,0.95
PROJ_001,2025-05-22,100,86.9,-13.1,High,5,Minor,0.85
PROJ_001,2025-05-23,100,98.7,-1.3,Low,6,None,0.81
PROJ_001,2025-05-26,100,100.0,0.0,Low,5,None,0.87
PROJ_001,2025-05-27,100,97.1,-2.9,Low,6,None,0.82
PROJ_001,2025-05-28,100,95.8,-4.2,Low,7,None,0.87
PROJ_001,2025-05-29,100,100.0,0.0,Low,5,Moderate,0.97
PROJ_001,2025-05-30,100,97.2,-2.8,Low,6,None,0.95
PROJ_001,2025-06-02,100,97.3,-2.7,Low,3,None,0.78
PROJ_001,2025-06-03,100,100.0,0.0,Low,7,Minor,0.77
PROJ_001,2025-06-04,100,100.0,0.0,Low,6,None,0.77
PROJ_001,2025-06-05,100,100.0,0.0,Low,6,None,0.81
PROJ_001,2025-06-06,100,99.8,-0.2,Low,4,Moderate,0.98
PROJ_001,2025-06-09,100,95.5,-4.5,Low,5,None,0.97
PROJ_001,2025-06-10,100,88.8,-11.2,High,3,Minor,0.88
PROJ_001,2025-06-11,100,89.4,-10.6,High,4,None,0.91
PROJ_001,2025-06-12,100,99.1,-0.9,Low,4,None,0.71
PROJ_001,2025-06-13,100,100.0,0.0,Low,7,None,0.89
PROJ_001,2025-06-16,100,100.0,0.0,Low,6,None,0.85
PROJ_001,2025-06-17,100,94.4,-5.6,Medium,6,None,0.96
PROJ_001,2025-06-18,100,100.0,0.0,Low,3,None,0.84
PROJ_001,2025-06-19,100,100.0,0.0,Low,7,None,0.88
PROJ_001,2025-06-20,100,95.9,-4.1,Low,3,None,0.76
PROJ_001,2025-06-23,100,97.3,-2.7,Low,5,Minor,0.74
PROJ_001,2025-06-24,100,96.3,-3.7,Low,7,Minor,0.95
PROJ_001,2025-06-25,100,100.0,0.0,Low,4,None,0.92
PROJ_001,2025-06-26,100,95.8,-4.2,Low,3,None,0.8
PROJ_001,2025-06-27,100,99.3,-0.7,Low,3,None,0.79
PROJ_001,2025-06-30,100,100.0,0.0,Low,5,None,0.9
PROJ_001,2025-07-01,100,98.0,-2.0,Low,6,Minor,0.98
PROJ_001,2025-07-02,100,100.0,0.0,Low,4,Moderate,0.8
PROJ_001,2025-07-03,100,100.0,0.0,Low,7,None,0.91
PROJ_001,2025-07-04,100,100.0,0.0,Low,5,None,0.8
PROJ_001,2025-07-07,100,100.0,0.0,Low,5,Minor,0.73
PROJ_001,2025-07-08,100,100.0,0.0,Low,6,None,0.81
PROJ_001,2025-07-09,100,100.0,0.0,Low,6,None,0.75
PROJ_001,2025-07-10,100,100.0,0.0,Low,7,None,0.85
PROJ_001,2025-07-11,100,95.1,-4.9,Low,4,None,0.72
PROJ_001,2025-07-14,100,100.0,0.0,Low,4,None,0.79
PROJ_001,2025-07-15,100,100.0,0.0,Low,5,Minor,0.72
PROJ_001,2025-07-16,100,95.3,-4.7,Low,4,Minor,0.81
PROJ_001,2025-07-17,100,100.0,0.0,Low,6,Moderate,0.79
PROJ_001,2025-07-18,100,94.5,-5.5,Medium,3,Minor,0.98
PROJ_001,2025-07-21,100,100.0,0.0,Low,7,None,0.95
PROJ_001,2025-07-22,100,100.0,0.0,Low,3,None,0.9
PROJ_001,2025-07-23,100,97.1,-2.9,Low,4,None,0.88
PROJ_001,2025-07-24,100,94.0,-6.0,Medium,3,None,0.81
