filename,file_type,file_size,domain,content_type,difficulty_level,word_count,char_count,complexity_score,keywords,topics
00_TROUBLESHOOTING.md,.md,19251,data_visualization,tutorial,intermediate,2180,18889,0.416164653162564,print; python; data; self; import,data_visualization; web_development; python; machine_learning; data_analysis
00_AI_STRATEGY_EXECUTIVE_SUMMARY.md,.md,6199,data_visualization,reference,intermediate,785,5939,0.46493148040918736,para; sistema; performance; inteligente; erros,data_visualization; python; machine_learning
00_QUICK_START.md,.md,14561,data_visualization,tutorial,intermediate,1431,14358,0.3810996876086908,self; html; para; vendas; import,data_visualization; web_development; python; machine_learning; data_analysis
README.md,.md,6888,data_visualization,tutorial,intermediate,877,6658,0.46701609838035335,para; python; guias; quando; usar,data_visualization; web_development; python; machine_learning; data_analysis
REORGANIZATION_PLOTLY_DOCS_COMPLETED.md,.md,3850,data_visualization,tutorial,intermediate,419,3581,0.43168467110497,para; documentacao; problema; oficial; navegacao,data_visualization
00_SHOWCASE.md,.md,7724,data_visualization,example,advanced,1025,7426,0.6857375790424571,para; casos; dashboard; performance; dados,data_visualization; web_development; python; machine_learning; data_analysis
00_SETUP.md,.md,16771,data_visualization,tutorial,intermediate,1906,16070,0.411742602115255,python; para; print; import; dash,data_visualization; web_development; python; machine_learning; data_analysis
ORGANIZATION_STATUS_FINAL.md,.md,2916,data_visualization,tutorial,advanced,356,2798,0.6386454431960049,arquivos; navegacao; para; status; problemas,data_visualization; machine_learning; data_analysis
FINAL_PROBLEMS_REPORT.md,.md,5744,data_visualization,tutorial,intermediate,600,5510,0.4758458049886622,pdfs; pandas; documentation; arquivos; organizados,data_visualization; web_development; python; data_analysis
PENDING_MOVE_PLOTLY_DOCS.md,.md,1479,data_visualization,example,intermediate,157,1429,0.5090619571511291,mover; pasta; plotly_documentation; conteudo; navegar,data_visualization; python; data_analysis
AI_TRANSFORMATION_SUMMARY.md,.md,8396,data_visualization,tutorial,expert,1034,8328,0.8688254121764759,python; production; complete; coding; development,data_visualization; web_development; python; machine_learning; data_analysis
00_DOMAIN_SPECIFIC_AI.py,.py,42662,data_visualization,example,intermediate,2970,42380,0.48804926391741615,self; return; para; class; analise,data_visualization; python; machine_learning; data_analysis
00_AI_DEVELOPMENT_ROADMAP.md,.md,2535,data_visualization,documentation,intermediate,389,2477,0.5685089974293059,para; resposta; capacidade; base; usuario,data_visualization; python; machine_learning; data_analysis
00_NAVIGATION_INDEX.md,.md,6797,data_visualization,tutorial,intermediate,790,6532,0.42202360588436544,dados; para; 02_practical_examples; 06_specialized_charts; 04_data_generation,data_visualization; web_development; python; machine_learning; data_analysis
00_AI_OPTIMIZATION_GUIDE.md,.md,9890,data_visualization,tutorial,intermediate,974,9644,0.5407972886445431,self; para; sistema; python; class,data_visualization; python; machine_learning; data_analysis
CORRECTION_PLAN.md,.md,6052,data_visualization,tutorial,intermediate,558,5784,0.4711230585424134,pdfs; organizados; 03_technical_documentationpandas_numpy_docs; pandas; arquivos,data_visualization; web_development; python; data_analysis
00_AI_IMPLEMENTATION_CODE.py,.py,37754,python_programming,example,intermediate,2840,37494,0.43639282019802433,self; return; import; query; para,data_visualization; python; machine_learning; data_analysis
00_LEARNING_PATHS.md,.md,11122,data_visualization,tutorial,expert,1602,10455,1.0,para; python; trilha; dashboard; 30min,data_visualization; web_development; python; machine_learning; data_analysis
advanced_dashboard_guide.md,.md,30856,data_visualization,tutorial,intermediate,2600,30711,0.44285061849758334,self; return; html; risk; import,data_visualization; web_development; python; machine_learning; data_analysis
plotly_dash_best_practices (3).md,.md,10254,data_visualization,code,intermediate,1309,9832,0.39762541380188443,python; dados; para; codigo; import,data_visualization; web_development; python; machine_learning; data_analysis
complete_error_analysis (1).md,.md,7665,data_visualization,reference,intermediate,922,7458,0.4134396665390668,erro; python; dados; solucao; value,data_visualization; web_development; python; machine_learning; data_analysis
