project_id,completed_hours,remaining_hours,overdue_hours,total_hours
Project_1,3294,988,563,4845
Project_2,1276,789,465,2530
Project_3,3094,1136,368,4598
Project_4,2538,1091,427,4056
Project_5,1229,764,301,2294
Project_6,818,890,375,2083
Project_7,1650,2213,517,4380
Project_8,3152,815,666,4633
Project_9,875,719,365,1959
Project_10,837,307,233,1377
Project_11,1269,2365,590,4224
Project_12,3191,1206,568,4965
Project_13,1114,1387,200,2701
Project_14,2229,1204,340,3773
Project_15,1222,678,467,2367
Project_16,1152,2387,229,3768
Project_17,1166,718,459,2343
Project_18,519,467,179,1165
Project_19,2987,145,716,3848
Project_20,960,702,116,1778
Project_21,1211,1770,467,3448
Project_22,2491,1396,647,4534
Project_23,2237,1707,787,4731
Project_24,574,509,158,1241
Project_25,2852,756,240,3848
Project_26,1233,2005,398,3636
Project_27,2556,426,259,3241
Project_28,2219,697,253,3169
Project_29,1197,326,363,1886
Project_30,859,385,72,1316
