project_id,month,actual_budget,planned_budget
PROJ-001,2023-11,115771.04487771231,103787.56456479692
PROJ-001,2023-12,89428.28518855784,103787.56456479692
PROJ-001,2024-01,87853.61123668122,103787.56456479692
PROJ-001,2024-02,83131.20563847784,103787.56456479692
PROJ-001,2024-03,86274.29853340231,103787.56456479692
PROJ-001,2024-04,107405.72373622816,103787.56456479692
PROJ-001,2024-05,97799.19880172992,103787.56456479692
PROJ-001,2024-06,76692.30016730474,103787.56456479692
PROJ-001,2024-07,88463.2526459826,103787.56456479692
PROJ-001,2024-08,88024.89438217635,103787.56456479692
PROJ-001,2024-09,116011.92999981994,103787.56456479692
PROJ-001,2024-10,117006.19309899127,103787.56456479692
PROJ-001,2024-11,81873.04427760247,103787.56456479692
PROJ-001,2024-12,134783.12820191515,103787.56456479692
PROJ-001,2025-01,89264.42624161273,103787.56456479692
PROJ-001,2025-02,133467.5878654145,103787.56456479692
PROJ-001,2025-03,98247.61353033017,103787.56456479692
PROJ-001,2025-04,74709.44824025556,103787.56456479692
PROJ-002,2023-02,87541.76112869357,96513.37959866221
PROJ-002,2023-03,104293.40099711427,96513.37959866221
PROJ-002,2023-04,106977.67590353393,96513.37959866221
PROJ-002,2023-05,98304.74030811015,96513.37959866221
PROJ-002,2023-06,93489.60564326336,96513.37959866221
PROJ-002,2023-07,99576.31406887436,96513.37959866221
PROJ-002,2023-08,101881.2640582568,96513.37959866221
PROJ-002,2023-09,72241.42238476186,96513.37959866221
PROJ-002,2023-10,88965.32622197835,96513.37959866221
PROJ-002,2023-11,81582.37014699823,96513.37959866221
PROJ-002,2023-12,114067.60502602553,96513.37959866221
PROJ-002,2024-01,94793.54791373285,96513.37959866221
PROJ-002,2024-02,124507.46026103914,96513.37959866221
PROJ-002,2024-03,90654.50260318912,96513.37959866221
PROJ-002,2024-04,114837.32529694513,96513.37959866221
PROJ-002,2024-05,113789.95737808879,96513.37959866221
PROJ-002,2024-06,76287.12143881168,96513.37959866221
PROJ-002,2024-07,96988.15458975521,96513.37959866221
PROJ-002,2024-08,107852.51304991495,96513.37959866221
PROJ-002,2024-09,117265.23121556788,96513.37959866221
PROJ-002,2024-10,86435.00304985186,96513.37959866221
PROJ-003,2023-01,369206.2860756522,443680.4293548387
PROJ-003,2023-02,499890.1784809426,443680.4293548387
PROJ-003,2023-03,526072.1635770631,443680.4293548387
