project_id,stage,stage_number
PROJ-001,Construction,4
PROJ-002,Final,5
PROJ-003,Final,5
PROJ-004,Final,5
PROJ-005,Final,5
PROJ-006,Final,5
PROJ-007,Construction,4
PROJ-008,Final,5
PROJ-009,Final,5
PROJ-010,Final,5
PROJ-011,Final,5
PROJ-012,Construction,4
PROJ-013,Final,5
PROJ-014,Final,5
PROJ-015,Final,5
PROJ-016,Final,5
PROJ-017,Final,5
PROJ-018,Final,5
PROJ-019,Final,5
PROJ-020,Construction,4
PROJ-021,Final,5
PROJ-022,Construction,4
PROJ-023,Final,5
PROJ-024,Final,5
PROJ-025,Construction,4
PROJ-026,Final,5
PROJ-027,Final,5
PROJ-028,Final,5
PROJ-029,Final,5
PROJ-030,Final,5
