project_id,status,completion_percent,budget_used,days_used
PROJ-001,Delayed,85,1208042.8164669902,614
PROJ-002,Completed,100,1816302.092199534,884
PROJ-003,Completed,100,1456075.785304154,929
PROJ-004,Completed,100,1536832.0002891787,801
PROJ-005,Delayed,95,2170436.2087705764,816
PROJ-006,Completed,100,3411127.0801326474,827
PROJ-007,Delayed,92,1803644.8129386117,870
PROJ-008,Completed,100,4514065.453677224,889
PROJ-009,Completed,100,4026298.8140727566,595
PROJ-010,Completed,100,531970.0780635253,662
PROJ-011,Completed,100,2339418.4427037854,897
PROJ-012,Delayed,87,2801731.1792967105,639
PROJ-013,Completed,100,4405477.590394358,725
PROJ-014,Completed,100,3181661.5625783848,925
PROJ-015,Completed,100,2372485.226291155,926
PROJ-016,Completed,100,835468.3189124061,894
PROJ-017,Completed,100,2928165.7714078203,830
PROJ-018,Completed,100,3589849.0445380528,822
PROJ-019,Completed,100,2960341.6756744543,683
PROJ-020,Delayed,88,4057211.3602507175,633
PROJ-021,Completed,100,4188406.13125205,928
PROJ-022,Delayed,94,4102366.8652673075,654
PROJ-023,Completed,100,3785174.2815805185,840
PROJ-024,Delayed,96,1824041.0968010311,609
PROJ-025,Delayed,94,453328.17026001663,582
PROJ-026,Completed,100,2704123.6670030025,662
PROJ-027,Completed,100,3437425.12540362,727
PROJ-028,Completed,100,3667864.6961669545,829
PROJ-029,Completed,100,3033772.105078563,712
PROJ-030,Completed,100,4528868.996574677,640
