project_id,actual_resources,planned_resources,resource_type
PROJ-001,432980.501087029,528825.6,Human Resources
PROJ-001,559874.9737049104,616963.2,Equipment
PROJ-001,499045.42777367576,616963.2,Materials
PROJ-002,473658.3648010279,474006.25,Human Resources
PROJ-002,751193.1818207025,758410.0,Equipment
PROJ-002,751569.1581224054,663608.75,Materials
PROJ-003,667361.5452195586,722948.4,Human Resources
PROJ-003,407220.31221102143,361474.2,Equipment
PROJ-003,858276.7539866782,722948.4,Materials
PROJ-004,355122.9586605667,425112.0,Human Resources
PROJ-004,553856.4571738867,495963.99999999994,Equipment
PROJ-004,513809.9546271882,495963.99999999994,Materials
PROJ-005,819570.4737293727,826164.6,Human Resources
PROJ-005,933221.7875710427,963858.7,Equipment
PROJ-005,1073610.6931266475,963858.7,Materials
PROJ-006,1063770.57674012,1007602.25,Human Resources
PROJ-006,1808876.363739527,1612163.6,Equipment
PROJ-006,1638124.0617349723,1410643.15,Materials
PROJ-007,837918.8618578208,800376.8,Human Resources
PROJ-007,477098.6436857434,400188.4,Equipment
PROJ-007,834981.2028540863,800376.8,Materials
PROJ-008,2008080.5493771827,1904011.6,Human Resources
PROJ-008,972879.7109050915,952005.8,Equipment
PROJ-008,1592516.894794396,1904011.6,Materials
PROJ-009,1235289.8176500914,1132712.7,Human Resources
PROJ-009,1346578.2327166032,1321498.15,Equipment
PROJ-009,1295549.4488304215,1321498.15,Materials
PROJ-010,238226.61447250217,204628.9,Human Resources
PROJ-010,134351.11851818074,146163.5,Equipment
PROJ-010,236069.46641300488,233861.6,Materials
PROJ-011,794516.1741440961,736306.2,Human Resources
PROJ-011,960894.4363917195,859023.8999999999,Equipment
PROJ-011,845055.0745657887,859023.8999999999,Materials
PROJ-012,994566.6992198507,874854.6,Human Resources
PROJ-012,1130453.5307386466,1020663.7,Equipment
PROJ-012,843572.8232909614,1020663.7,Materials
PROJ-013,975796.0354856201,1192402.5,Human Resources
PROJ-013,1458359.1167222525,1391136.25,Equipment
PROJ-013,1306228.7543673688,1391136.25,Materials
PROJ-014,835844.3402512122,945897.2999999999,Human Resources
PROJ-014,1138705.8237155972,1103546.8499999999,Equipment
PROJ-014,1033609.8819900828,1103546.8499999999,Materials
PROJ-015,743009.1742344482,732097.0,Human Resources
PROJ-015,1152669.3477980134,1171355.2,Equipment
PROJ-015,1059687.7266455523,1024935.7999999999,Materials
PROJ-016,394869.78497388726,411271.2,Human Resources
PROJ-016,221894.59604708513,205635.6,Equipment
PROJ-016,358639.55327192915,411271.2,Materials
PROJ-017,852915.8176743698,790761.5,Human Resources
PROJ-017,1220511.2571885956,1265218.4000000001,Equipment
PROJ-017,1272823.8323870082,1107066.0999999999,Materials
PROJ-018,776363.8277330288,771661.0,Human Resources
PROJ-018,1468309.3153459954,1234657.6,Equipment
PROJ-018,1124374.7587847784,1080325.4,Materials
PROJ-019,682811.9515053162,767601.5,Human Resources
PROJ-019,1386246.8643377628,1228162.4000000001,Equipment
PROJ-019,1008049.8079346272,1074642.0999999999,Materials
PROJ-020,1103380.2795687125,1174999.2,Human Resources
PROJ-020,1114105.475140618,1370832.4,Equipment
PROJ-020,1397544.6096950136,1370832.4,Materials
PROJ-021,1378706.7695925736,1359980.65,Human Resources
PROJ-021,915457.9514784801,971414.75,Equipment
PROJ-021,1799350.6168843072,1554263.6,Materials
PROJ-022,1323351.5984915697,1554142.8,Human Resources
PROJ-022,724261.4763788965,777071.4,Equipment
PROJ-022,1443228.4553326247,1554142.8,Materials
PROJ-023,965323.9157372233,1153429.5499999998,Human Resources
PROJ-023,817664.6901002637,823878.25,Equipment
PROJ-023,1417220.7162226343,1318205.2000000002,Materials
PROJ-024,493713.65633027017,491422.25,Human Resources
PROJ-024,678391.568665714,786275.6000000001,Equipment
PROJ-024,654220.6820423013,687991.1499999999,Materials
PROJ-025,113777.035791352,142037.0,Human Resources
PROJ-025,260739.12597760875,227259.2,Equipment
PROJ-025,165803.98364316698,198851.8,Materials
PROJ-026,845655.8223636006,813982.75,Human Resources
PROJ-026,694503.3376292597,581416.25,Equipment
PROJ-026,943881.6135520209,930266.0,Materials
PROJ-027,1328671.7680355124,1135989.0499999998,Human Resources
PROJ-027,725772.5417558096,811420.75,Equipment
PROJ-027,1433270.4562474834,1298273.2000000002,Materials
PROJ-028,1381264.1847724977,1364203.0499999998,Human Resources
PROJ-028,1060381.8024354924,974430.75,Equipment
PROJ-028,1286149.6580018247,1559089.2000000002,Materials
PROJ-029,752515.8025179177,875939.5,Human Resources
PROJ-029,1195828.0805558092,1401503.2000000002,Equipment
PROJ-029,1318124.8691633348,1226315.2999999998,Materials
PROJ-030,1296074.5124787237,1139129.5,Human Resources
PROJ-030,2004588.1366782887,1822607.2000000002,Equipment
PROJ-030,1295263.6077401119,1594781.2999999998,Materials
