project_id,completed_hours,remaining_hours,overdue_hours
PROJ-001,77343.2,13648.800000000003,24181.435616438357
PROJ-002,47840.0,0.0,0.0
PROJ-003,6944.0,0.0,0.0
PROJ-004,54280.0,0.0,0.0
PROJ-005,24548.0,1292.0,7752.0
PROJ-006,46872.0,0.0,0.0
PROJ-007,49150.08,4273.919999999998,16027.199999999999
PROJ-008,8008.0,0.0,0.0
PROJ-009,80472.0,0.0,0.0
PROJ-010,57640.0,0.0,0.0
PROJ-011,24960.0,0.0,0.0
PROJ-012,82726.56,12361.440000000002,19017.600000000002
PROJ-013,66776.0,0.0,0.0
PROJ-014,123840.0,0.0,0.0
PROJ-015,16064.0,0.0,0.0
PROJ-016,32592.0,0.0,0.0
PROJ-017,20104.0,0.0,0.0
PROJ-018,37440.0,0.0,0.0
PROJ-019,74120.0,0.0,0.0
PROJ-020,85338.88,11637.119999999995,21786.38904109589
PROJ-021,51832.0,0.0,0.0
PROJ-022,23161.6,1478.4000000000015,7392.0
PROJ-023,64904.0,0.0,0.0
PROJ-024,6543.36,272.6400000000003,2044.8
PROJ-025,43721.28,2790.720000000001,13953.6
PROJ-026,26592.0,0.0,0.0
PROJ-027,45024.0,0.0,0.0
PROJ-028,97776.0,0.0,0.0
PROJ-029,16640.0,0.0,0.0
PROJ-030,45264.0,0.0,0.0
