id_projeto,data,mes_ano,orcado,realizado,variacao
PROJ-0001,2023-11-01,2023-11,36347.21421319797,31257.762658560136,-14.002315348805503
PROJ-0001,2023-12-01,2023-12,36347.21421319797,45739.18335597723,25.839584535116757
PROJ-0001,2024-01-01,2024-01,36347.21421319797,42174.674840282685,16.032757264155663
PROJ-0001,2024-02-01,2024-02,36347.21421319797,36373.48654143551,0.07228154565968126
PROJ-0001,2024-03-01,2024-03,36347.21421319797,31960.544250801144,-12.068792773681102
PROJ-0001,2024-04-01,2024-04,36347.21421319797,45106.75053417616,24.09960848608179
PROJ-0001,2024-05-01,2024-05,36347.21421319797,44048.79072308145,21.18890450505826
PROJ-0001,2024-06-01,2024-06,36347.21421319797,42194.05531000496,16.086077635858963
PROJ-0002,2023-02-01,2023-02,158272.39844011143,148107.11999364314,-6.422647629437883
PROJ-0002,2023-03-01,2023-03,158272.39844011143,158466.0160274815,0.12233187168344628
PROJ-0002,2023-04-01,2023-04,158272.39844011143,134749.02492767668,-14.862587377378832
PROJ-0002,2023-05-01,2023-05,158272.39844011143,141577.78824139174,-10.548023763623414
PROJ-0002,2023-06-01,2023-06,158272.39844011143,188582.8793554042,19.150831865836643
PROJ-0002,2023-07-01,2023-07,158272.39844011143,183203.36525711027,15.751935942534189
PROJ-0002,2023-08-01,2023-08,158272.39844011143,173584.1263252195,9.674288148796734
PROJ-0002,2023-09-01,2023-09,158272.39844011143,197502.327381711,24.78633629630864
PROJ-0002,2023-10-01,2023-10,158272.39844011143,172775.4141041305,9.16332589065227
PROJ-0002,2023-11-01,2023-11,158272.39844011143,163571.9914266004,3.348399998180536
PROJ-0002,2023-12-01,2023-12,158272.39844011143,153553.56594042102,-2.9814626847118646
PROJ-0002,2024-01-01,2024-01,158272.39844011143,201041.4390582306,27.022425286808627
PROJ-0002,2024-02-01,2024-02,158272.39844011143,133163.7059938592,-15.864226923782326
PROJ-0003,2023-01-01,2023-01,29710.65235737352,37597.157433482666,26.544368603040418
PROJ-0003,2023-02-01,2023-02,29710.65235737352,36049.637815876195,21.335732996550917
PROJ-0003,2023-03-01,2023-03,29710.65235737352,25698.673295248813,-13.503503773214936
PROJ-0003,2023-04-01,2023-04,29710.65235737352,32161.548805020535,8.249217883762679
PROJ-0003,2023-05-01,2023-05,29710.65235737352,36641.374804264204,23.327399087454346
PROJ-0003,2023-06-01,2023-06,29710.65235737352,32262.93352324515,8.590458180357686
PROJ-0003,2023-07-01,2023-07,29710.65235737352,37245.27114442828,25.359991078031115
PROJ-0003,2023-08-01,2023-08,29710.65235737352,37776.85406592414,27.149190840802127
PROJ-0003,2023-09-01,2023-09,29710.65235737352,30043.181735775433,1.119226109215294
PROJ-0003,2023-10-01,2023-10,29710.65235737352,29373.639397764327,-1.1343169296838198
PROJ-0003,2023-11-01,2023-11,29710.65235737352,37677.87803611503,26.81605769845784
PROJ-0003,2023-12-01,2023-12,29710.65235737352,33797.94771057566,13.757003057483402
PROJ-0003,2024-01-01,2024-01,29710.65235737352,25492.076661451705,-14.198865932591536
