project_id,month,planned_spend,actual_spend,cumulative_planned,cumulative_actual
ADV-0001,2024-04-01,64297.563887688986,60772.55836216002,64297.563887688986,60772.55836216002
ADV-0001,2024-05-01,64297.563887688986,87187.74833991397,128595.12777537797,147960.306702074
ADV-0001,2024-06-01,64297.563887688986,66761.29839618503,192892.69166306697,214721.60509825905
ADV-0001,2024-07-01,64297.563887688986,72855.99490395284,257190.25555075594,287577.60000221187
ADV-0001,2024-08-01,64297.563887688986,59201.30365971511,321487.8194384449,346778.903661927
ADV-0001,2024-09-01,64297.563887688986,97727.81089789595,385785.38332613395,444506.7145598229
ADV-0001,2024-10-01,64297.563887688986,61202.312892236296,450082.9472138229,505709.0274520592
ADV-0001,2024-11-01,64297.563887688986,86346.86418724673,514380.5111015119,592055.891639306
ADV-0001,2024-12-01,64297.563887688986,68337.7945904766,578678.0749892009,660393.6862297825
ADV-0001,2025-01-01,64297.563887688986,56728.03046678109,642975.6388768898,717121.7166965636
ADV-0001,2025-02-01,64297.563887688986,87867.15476347283,707273.2027645789,804988.8714600365
ADV-0001,2025-03-01,64297.563887688986,63411.74534187467,771570.7666522679,868400.6168019112
ADV-0001,2025-04-01,64297.563887688986,91302.39743189358,835868.3305399568,959703.0142338048
ADV-0001,2025-05-01,64297.563887688986,93929.08738968073,900165.8944276458,1053632.1016234856
ADV-0001,2025-06-01,64297.563887688986,91020.67625420427,964463.4583153347,1144652.7778776898
ADV-0001,2025-07-01,64297.563887688986,47745.21430512407,1028761.0222030238,1192397.9921828138
ADV-0002,2023-07-01,9830.375825375171,14380.7441742679,9830.375825375171,14380.7441742679
ADV-0002,2023-08-01,9830.375825375171,11127.776347335279,19660.751650750342,25508.52052160318
ADV-0002,2023-09-01,9830.375825375171,15127.731097458163,29491.12747612551,40636.25161906134
ADV-0002,2023-10-01,9830.375825375171,13088.15992773905,39321.503301500685,53724.41154680039
ADV-0002,2023-11-01,9830.375825375171,14781.011660872191,49151.87912687586,68505.42320767257
ADV-0002,2023-12-01,9830.375825375171,11889.839142831364,58982.25495225102,80395.26235050394
ADV-0002,2024-01-01,9830.375825375171,12197.750957543165,68812.6307776262,92593.0133080471
ADV-0002,2024-02-01,9830.375825375171,8818.447911339654,78643.00660300137,101411.46121938675
ADV-0002,2024-03-01,9830.375825375171,14351.452918407307,88473.38242837654,115762.91413779405
ADV-0002,2024-04-01,9830.375825375171,11197.415985490024,98303.75825375172,126960.33012328407
ADV-0002,2024-05-01,9830.375825375171,11895.447830297679,108134.13407912689,138855.77795358177
ADV-0002,2024-06-01,9830.375825375171,14361.058304038184,117964.50990450205,153216.83625761996
ADV-0002,2024-07-01,9830.375825375171,12749.839688327558,127794.88572987722,165966.67594594753
ADV-0002,2024-08-01,9830.375825375171,9309.04032605306,137625.2615552524,175275.7162720006
