project_id,milestone_name,milestone_type,planned_date,actual_date,status,importance_score
ADV-0001,Initiation - AI/ML Implementation Project 001,Initiation,2024-04-23,2024-05-02,Completed,2
ADV-0001,Planning Complete - AI/ML Implementation Project 001,Planning Complete,2024-08-16,2024-08-23,Completed,5
ADV-0001,Design Approved - AI/ML Implementation Project 001,Design Approved,2024-12-10,2024-12-12,Completed,4
ADV-0001,Development Complete - AI/ML Implementation Project 001,Development Complete,2025-04-05,2025-04-10,Completed,3
ADV-0001,Testing Complete - AI/ML Implementation Project 001,Testing Complete,2025-07-30,2025-08-06,Completed,2
ADV-0002,Initiation - Cloud Migration Project 002,Initiation,2023-07-28,2023-07-24,Completed,5
ADV-0002,Planning Complete - Cloud Migration Project 002,Planning Complete,2024-01-27,2024-02-05,Completed,4
ADV-0002,Design Approved - Cloud Migration Project 002,Design Approved,2024-07-28,2024-08-09,Completed,3
ADV-0002,Development Complete - Cloud Migration Project 002,Development Complete,2025-01-27,2025-02-02,Completed,5
ADV-0002,Testing Complete - Cloud Migration Project 002,Testing Complete,2025-07-30,2025-08-04,Completed,5
ADV-0003,Initiation - Data Analytics Project 003,Initiation,2023-06-13,2023-06-08,Completed,3
ADV-0003,Planning Complete - Data Analytics Project 003,Planning Complete,2023-10-20,2023-11-02,Completed,5
ADV-0003,Design Approved - Data Analytics Project 003,Design Approved,2024-02-27,2024-02-28,Completed,4
ADV-0003,Development Complete - Data Analytics Project 003,Development Complete,2024-07-05,2024-07-14,Completed,1
ADV-0003,Testing Complete - Data Analytics Project 003,Testing Complete,2024-11-12,2024-11-11,Completed,2
ADV-0003,Deployment - Data Analytics Project 003,Deployment,2025-03-21,2025-03-31,Completed,1
ADV-0003,Go-Live - Data Analytics Project 003,Go-Live,2025-07-29,2025-08-04,Completed,5
ADV-0004,Initiation - Cloud Migration Project 004,Initiation,2024-06-14,2024-06-11,Completed,1
ADV-0004,Planning Complete - Cloud Migration Project 004,Planning Complete,2024-10-29,2024-10-27,Completed,3
ADV-0004,Design Approved - Cloud Migration Project 004,Design Approved,2025-03-15,2025-03-19,Completed,2
ADV-0004,Development Complete - Cloud Migration Project 004,Development Complete,2025-07-30,2025-08-04,Completed,1
ADV-0005,Initiation - Cloud Migration Project 005,Initiation,2023-10-19,2023-10-23,Completed,5
ADV-0005,Planning Complete - Cloud Migration Project 005,Planning Complete,2024-02-04,2024-02-12,Completed,3
ADV-0005,Design Approved - Cloud Migration Project 005,Design Approved,2024-05-22,2024-05-18,Completed,1
ADV-0005,Development Complete - Cloud Migration Project 005,Development Complete,2024-09-08,2024-09-18,Completed,5
ADV-0005,Testing Complete - Cloud Migration Project 005,Testing Complete,2024-12-25,2024-12-28,Completed,4
ADV-0005,Deployment - Cloud Migration Project 005,Deployment,2025-04-12,2025-04-10,Completed,2
ADV-0005,Go-Live - Cloud Migration Project 005,Go-Live,2025-07-30,2025-08-05,Completed,1
ADV-0006,Initiation - Digital Transformation Project 006,Initiation,2023-10-04,2023-10-12,Completed,1
ADV-0006,Planning Complete - Digital Transformation Project 006,Planning Complete,2024-01-22,2024-01-18,Completed,5
ADV-0006,Design Approved - Digital Transformation Project 006,Design Approved,2024-05-12,2024-05-26,Completed,3
ADV-0006,Development Complete - Digital Transformation Project 006,Development Complete,2024-08-31,2024-09-10,Completed,3
ADV-0006,Testing Complete - Digital Transformation Project 006,Testing Complete,2024-12-20,2024-12-20,Completed,3
ADV-0006,Deployment - Digital Transformation Project 006,Deployment,2025-04-10,2025-04-09,Completed,2
ADV-0006,Go-Live - Digital Transformation Project 006,Go-Live,2025-07-30,2025-07-28,Completed,5
ADV-0007,Initiation - Data Analytics Project 007,Initiation,2023-09-23,2023-09-21,Completed,4
ADV-0007,Planning Complete - Data Analytics Project 007,Planning Complete,2024-01-13,2024-01-17,Completed,3
ADV-0007,Design Approved - Data Analytics Project 007,Design Approved,2024-05-05,2024-05-04,Completed,5
ADV-0007,Development Complete - Data Analytics Project 007,Development Complete,2024-08-26,2024-08-28,Completed,5
ADV-0007,Testing Complete - Data Analytics Project 007,Testing Complete,2024-12-16,2024-12-20,Completed,4
ADV-0007,Deployment - Data Analytics Project 007,Deployment,2025-04-08,2025-04-15,Completed,4
ADV-0007,Go-Live - Data Analytics Project 007,Go-Live,2025-07-30,2025-08-10,Completed,4
ADV-0008,Initiation - Data Analytics Project 008,Initiation,2023-08-11,2023-08-19,Completed,3
ADV-0008,Planning Complete - Data Analytics Project 008,Planning Complete,2024-01-01,2023-12-31,Completed,2
ADV-0008,Design Approved - Data Analytics Project 008,Design Approved,2024-05-24,2024-06-07,Completed,4
ADV-0008,Development Complete - Data Analytics Project 008,Development Complete,2024-10-15,2024-10-11,Completed,2
ADV-0008,Testing Complete - Data Analytics Project 008,Testing Complete,2025-03-08,2025-03-21,Completed,4
ADV-0008,Deployment - Data Analytics Project 008,Deployment,2025-07-30,2025-08-12,Completed,1
ADV-0009,Initiation - Data Analytics Project 009,Initiation,2024-06-12,2024-06-20,Completed,3
ADV-0009,Planning Complete - Data Analytics Project 009,Planning Complete,2024-10-27,2024-11-03,Completed,4
