project_id,project_name,category,business_unit,priority,project_manager,start_date,planned_duration_days,budget_usd,complexity_score,team_size,planned_end_date,status,progress_percent,schedule_variance_days,actual_end_date,budget_variance_pct,actual_cost_usd,expected_roi_pct,business_value_score,risk_score,quality_score,stakeholder_satisfaction
ADV-0001,AI/ML Implementation Project 001,Software Development,HR,High,PM A,2024-04-23,205,977982,1,13,2024-11-14,Completed,100.0,-258,2025-07-30,0.12349091044206786,1098753.8875759544,78,4,4,6,9
ADV-0002,Cloud Migration Project 002,Software Development,HR,High,PM B,2023-07-28,283,236717,5,14,2024-05-06,Completed,100.0,-450,2025-07-30,0.46629240508830544,347096.3392552884,96,8,3,9,9
ADV-0003,Data Analytics Project 003,Software Development,Technology,High,PM C,2023-06-13,298,1078202,2,21,2024-04-06,Completed,100.0,-479,2025-07-29,0.21521582405253661,1310248.131925093,124,1,4,6,6
ADV-0004,Cloud Migration Project 004,Software Development,HR,High,PM D,2024-06-14,236,1479551,5,24,2025-02-05,Completed,100.0,-175,2025-07-30,0.13297168994045674,1676289.3968230926,109,9,5,9,6
ADV-0005,Cloud Migration Project 005,Data Analytics,Operations,Critical,PM E,2023-10-19,326,233868,8,9,2024-09-09,Completed,100.0,-324,2025-07-30,0.4292339157288288,334252.0774036697,46,6,6,9,9
ADV-0006,Digital Transformation Project 006,Software Development,Marketing,Medium,PM F,2023-10-04,400,709792,9,22,2024-11-07,Completed,100.0,-265,2025-07-30,0.40667263731793746,998444.9845871734,25,4,3,8,9
ADV-0007,Data Analytics Project 007,AI/ML Implementation,Technology,High,PM G,2023-09-23,341,145257,2,8,2024-08-29,Completed,100.0,-335,2025-07-30,0.25520918905304885,182327.92117427872,59,9,2,10,9
ADV-0008,Data Analytics Project 008,Cloud Migration,Marketing,Medium,PM H,2023-08-11,122,638579,3,23,2023-12-11,Completed,100.0,-597,2025-07-30,0.5,957868.5,47,5,4,9,6
ADV-0009,Data Analytics Project 009,Software Development,HR,High,PM I,2024-06-12,276,260176,3,3,2025-03-15,Completed,100.0,-136,2025-07-29,0.15470196958122553,300425.7396377649,116,5,5,8,9
ADV-0010,Cloud Migration Project 010,Data Analytics,HR,Medium,PM J,2023-07-23,401,240471,1,19,2024-08-27,Completed,100.0,-337,2025-07-30,0.15348807031565406,277380.4297568756,25,5,4,10,9
ADV-0011,AI/ML Implementation Project 011,Data Analytics,Technology,High,PM K,2024-05-12,374,964032,8,13,2025-05-21,Completed,100.0,-70,2025-07-30,0.11039745639617271,1070458.6806845153,102,1,3,9,8
ADV-0012,Data Analytics Project 012,Software Development,Operations,High,PM L,2024-06-14,342,522930,6,24,2025-05-22,Completed,100.0,-68,2025-07-29,0.1361086042039257,594105.2723963589,55,1,8,9,5
ADV-0013,Cloud Migration Project 013,Cloud Migration,Finance,Medium,PM M,2024-03-06,236,967559,8,20,2024-10-28,Delayed,82.0,-317,2024-10-28,0.3154621075691547,1272787.2013375037,90,8,10,6,7
ADV-0014,Digital Transformation Project 014,Software Development,Technology,Medium,PM N,2023-07-15,157,685605,9,23,2023-12-19,Completed,100.0,-589,2025-07-30,0.5,1028407.5,135,8,4,6,5
ADV-0015,AI/ML Implementation Project 015,Data Analytics,Finance,High,PM O,2024-03-29,164,1238365,5,19,2024-09-09,Delayed,94.0,-333,2024-09-09,0.4949629545319366,1851309.7991889417,60,6,2,10,8
ADV-0016,Digital Transformation Project 016,Digital Transformation,Finance,Low,PM P,2024-01-03,158,439593,3,9,2024-06-09,Completed,100.0,-416,2025-07-30,0.45306042935102553,638755.1933197054,94,4,2,9,7
ADV-0017,AI/ML Implementation Project 017,AI/ML Implementation,Operations,Critical,PM Q,2023-06-17,444,865131,5,19,2024-09-03,Completed,100.0,-330,2025-07-30,0.1228834226885769,971441.2583539912,68,2,1,7,9
ADV-0018,Cloud Migration Project 018,Data Analytics,Finance,Medium,PM R,2023-06-16,370,1172262,5,22,2024-06-20,Delayed,96.0,-419,2024-06-20,0.1943521424721315,1400093.631238666,100,2,4,6,8
ADV-0019,Software Development Project 019,Software Development,Finance,Low,PM S,2023-07-18,65,117661,5,11,2023-09-21,Completed,100.0,-678,2025-07-30,0.5,176491.5,106,9,10,10,9
ADV-0020,AI/ML Implementation Project 020,AI/ML Implementation,Operations,Medium,PM T,2023-09-20,256,618535,3,19,2024-06-02,Completed,100.0,-423,2025-07-30,0.17736278529855687,728240.0904046429,111,5,9,9,6
ADV-0021,Digital Transformation Project 021,Software Development,Finance,Medium,PM A,2023-09-28,410,1343697,10,22,2024-11-11,Delayed,95.0,-281,2024-11-11,0.40915204482720646,1893473.375178183,16,4,7,9,10
ADV-0022,Cloud Migration Project 022,Software Development,Finance,Medium,PM B,2024-02-14,192,1465833,4,24,2024-08-24,Completed,100.0,-340,2025-07-30,0.3439475183992049,1970002.6227376617,47,10,10,7,8
ADV-0023,AI/ML Implementation Project 023,Digital Transformation,Finance,Medium,PM C,2024-04-04,417,316765,9,24,2025-05-26,Delayed,93.0,-94,2025-05-26,0.20966210847588476,383178.6177913636,91,1,7,10,6
ADV-0024,Software Development Project 024,AI/ML Implementation,Technology,Medium,PM D,2023-06-14,318,1244682,10,10,2024-04-27,Completed,100.0,-458,2025-07-29,0.4544828613536294,1810368.636835358,130,7,7,9,8
ADV-0025,Software Development Project 025,AI/ML Implementation,Technology,High,PM E,2024-03-14,82,1357506,9,19,2024-06-04,Delayed,87.0,-431,2024-06-04,0.5,2036259.0,117,3,8,6,8
ADV-0026,Data Analytics Project 026,Digital Transformation,Technology,High,PM F,2023-09-10,112,710482,2,9,2023-12-31,Completed,100.0,-577,2025-07-30,0.5,1065723.0,117,6,1,7,6
ADV-0027,Data Analytics Project 027,Data Analytics,Operations,Medium,PM G,2024-06-01,224,854462,8,3,2025-01-11,Completed,100.0,-200,2025-07-30,0.3462526048414676,1150321.69323805,104,5,10,10,7
ADV-0028,Digital Transformation Project 028,Software Development,HR,Medium,PM H,2024-04-28,261,919270,8,15,2025-01-14,Delayed,88.0,-228,2025-01-14,0.3101647509008441,1204395.1505606188,136,5,10,7,5
ADV-0029,AI/ML Implementation Project 029,Cloud Migration,Finance,Medium,PM I,2024-05-25,142,498874,7,21,2024-10-14,Completed,100.0,-289,2025-07-30,0.34154364452684866,669261.2441196871,120,5,8,6,9
