project_id,quality_dimension,score,measurement_date,target_score
ADV-0001,Code Quality,7,2025-07-28 07:38:36.342391,8
ADV-0001,User Experience,8,2025-07-05 07:38:36.342391,9
ADV-0001,Performance,7,2025-07-18 07:38:36.342391,9
ADV-0001,Security,6,2025-07-30 07:38:36.342391,8
ADV-0001,Maintainability,7,2025-07-22 07:38:36.342391,9
ADV-0002,Code Quality,8,2025-07-13 07:38:36.342391,8
ADV-0002,User Experience,9,2025-07-27 07:38:36.342391,8
ADV-0002,Performance,8,2025-07-16 07:38:36.342391,8
ADV-0002,Security,6,2025-07-19 07:38:36.342391,8
ADV-0002,Maintainability,8,2025-07-09 07:38:36.342391,9
ADV-0003,Code Quality,6,2025-07-07 07:38:36.342391,9
ADV-0003,User Experience,9,2025-07-09 07:38:36.342391,8
ADV-0003,Performance,9,2025-07-22 07:38:36.342391,9
ADV-0003,Security,9,2025-07-12 07:38:36.342391,8
ADV-0003,Maintainability,9,2025-07-18 07:38:36.342391,8
ADV-0004,Code Quality,7,2025-07-04 07:38:36.342391,9
ADV-0004,User Experience,9,2025-07-10 07:38:36.342391,9
ADV-0004,Performance,8,2025-06-30 07:38:36.342391,9
ADV-0004,Security,9,2025-07-19 07:38:36.342391,8
ADV-0004,Maintainability,6,2025-07-27 07:38:36.342391,8
ADV-0005,Code Quality,7,2025-07-09 07:38:36.342391,8
ADV-0005,User Experience,8,2025-07-23 07:38:36.342391,8
ADV-0005,Performance,6,2025-07-15 07:38:36.342391,8
ADV-0005,Security,8,2025-07-30 07:38:36.342391,9
ADV-0005,Maintainability,8,2025-07-11 07:38:36.342391,9
ADV-0006,Code Quality,7,2025-07-02 07:38:36.342391,8
ADV-0006,User Experience,7,2025-06-30 07:38:36.342391,9
ADV-0006,Performance,7,2025-07-13 07:38:36.342391,8
ADV-0006,Security,7,2025-07-20 07:38:36.342391,8
ADV-0006,Maintainability,8,2025-07-01 07:38:36.342391,9
ADV-0007,Code Quality,7,2025-07-11 07:38:36.342391,9
ADV-0007,User Experience,9,2025-07-23 07:38:36.342391,8
ADV-0007,Performance,8,2025-07-10 07:38:36.342391,8
ADV-0007,Security,9,2025-07-28 07:38:36.342391,8
ADV-0007,Maintainability,7,2025-07-10 07:38:36.342391,8
ADV-0008,Code Quality,9,2025-07-04 07:38:36.342391,8
ADV-0008,User Experience,8,2025-07-16 07:38:36.342391,8
ADV-0008,Performance,6,2025-07-01 07:38:36.342391,9
ADV-0008,Security,6,2025-07-08 07:38:36.342391,8
ADV-0008,Maintainability,8,2025-07-21 07:38:36.342391,9
ADV-0009,Code Quality,6,2025-07-10 07:38:36.342391,8
ADV-0009,User Experience,8,2025-07-17 07:38:36.342391,8
ADV-0009,Performance,6,2025-07-27 07:38:36.342391,9
ADV-0009,Security,9,2025-07-26 07:38:36.342391,9
ADV-0009,Maintainability,6,2025-07-29 07:38:36.342391,9
ADV-0010,Code Quality,8,2025-06-30 07:38:36.342391,8
ADV-0010,User Experience,6,2025-07-29 07:38:36.342391,8
ADV-0010,Performance,7,2025-07-21 07:38:36.342391,9
ADV-0010,Security,7,2025-07-15 07:38:36.342391,8
ADV-0010,Maintainability,9,2025-07-27 07:38:36.342391,9
ADV-0011,Code Quality,6,2025-07-27 07:38:36.342391,9
ADV-0011,User Experience,6,2025-07-23 07:38:36.342391,9
ADV-0011,Performance,7,2025-07-02 07:38:36.342391,9
ADV-0011,Security,6,2025-07-13 07:38:36.342391,9
ADV-0011,Maintainability,9,2025-07-26 07:38:36.342391,9
ADV-0012,Code Quality,9,2025-07-18 07:38:36.342391,8
ADV-0012,User Experience,6,2025-07-16 07:38:36.342391,9
ADV-0012,Performance,9,2025-07-19 07:38:36.342391,9
ADV-0012,Security,8,2025-07-09 07:38:36.342391,9
ADV-0012,Maintainability,7,2025-06-30 07:38:36.342391,8
ADV-0013,Code Quality,8,2025-07-07 07:38:36.342391,8
ADV-0013,User Experience,7,2025-07-08 07:38:36.342391,8
ADV-0013,Performance,6,2025-06-30 07:38:36.342391,9
ADV-0013,Security,6,2025-07-13 07:38:36.342391,9
ADV-0013,Maintainability,7,2025-07-17 07:38:36.342391,8
ADV-0014,Code Quality,8,2025-07-12 07:38:36.342391,8
ADV-0014,User Experience,7,2025-07-07 07:38:36.342391,8
ADV-0014,Performance,6,2025-07-07 07:38:36.342391,8
ADV-0014,Security,6,2025-07-26 07:38:36.342391,9
ADV-0014,Maintainability,8,2025-07-02 07:38:36.342391,8
ADV-0015,Code Quality,9,2025-07-17 07:38:36.342391,9
ADV-0015,User Experience,6,2025-07-10 07:38:36.342391,8
ADV-0015,Performance,9,2025-07-27 07:38:36.342391,9
ADV-0015,Security,6,2025-07-04 07:38:36.342391,9
ADV-0015,Maintainability,9,2025-07-15 07:38:36.342391,9
ADV-0016,Code Quality,9,2025-07-11 07:38:36.342391,8
ADV-0016,User Experience,7,2025-07-17 07:38:36.342391,8
