project_id,resource_type,planned_allocation,actual_allocation,planned_hours,actual_hours,hourly_rate
ADV-0001,DevOps Engineers,2,1.8057218808872768,2342.8571428571427,2718.949745623221,169
ADV-0001,Junior Developers,2,1.900257076618411,2342.8571428571427,1907.228050211282,131
ADV-0001,Project Managers,2,2.2584028595575476,2342.8571428571427,2045.4274053484037,124
ADV-0001,Business Analysts,6,6.88452679388601,7028.571428571428,9066.166710053012,155
ADV-0002,Data Scientists,6,6.982954625712723,9702.857142857143,7844.336955048255,69
ADV-0002,Business Analysts,2,2.2443968368257954,3234.2857142857147,2598.81797050647,168
ADV-0002,Project Managers,6,5.3683142050948325,9702.857142857143,11055.859138704449,57
ADV-0002,Senior Developers,4,4.208280135819266,6468.571428571429,7665.325801748568,118
ADV-0003,UX/UI Designers,10,8.247049545160799,17028.571428571428,16554.39411226708,82
ADV-0003,Data Scientists,9,7.967534153000887,15325.714285714284,16258.540083898299,78
ADV-0003,QA Engineers,4,3.6170586477326987,6811.428571428571,6143.075826094665,186
ADV-0004,Junior Developers,3,2.902715068724903,4045.714285714286,4044.5658672967,117
ADV-0004,Data Scientists,1,1.1624403714721703,1348.5714285714287,1556.9016201177474,104
ADV-0004,UX/UI Designers,10,8.280274782884758,13485.714285714286,12686.532667954772,90
ADV-0005,Project Managers,4,4.129229733783075,7451.428571428571,6409.637448443475,179
ADV-0005,UX/UI Designers,2,1.9865077164523997,3725.7142857142853,3550.4097664186024,155
ADV-0005,Senior Developers,4,4.773976053881212,7451.428571428571,8238.081560764185,176
ADV-0005,Junior Developers,1,1.000013566227843,1862.8571428571427,2191.509362513689,167
ADV-0005,QA Engineers,8,6.5100902670510665,14902.857142857141,14156.77740600606,106
ADV-0006,Project Managers,10,9.379079067599497,22857.14285714286,28102.083992282605,98
ADV-0006,Business Analysts,3,3.2579433882621327,6857.142857142858,8275.230217259508,60
ADV-0006,Data Scientists,12,10.341195636188223,27428.57142857143,34425.82841097113,149
ADV-0006,UX/UI Designers,7,8.0458959398866,16000.0,12933.372404797066,163
ADV-0006,Senior Developers,4,3.7120257809398267,9142.857142857143,10679.0189733763,57
ADV-0007,Junior Developers,2,2.3677965771695755,3897.1428571428573,3434.378704379615,69
ADV-0007,UX/UI Designers,1,0.937351115829829,1948.5714285714287,2206.113497178679,177
ADV-0007,Project Managers,3,2.423967519093634,5845.714285714286,4701.763541861118,75
ADV-0007,Senior Developers,3,3.021618418690224,5845.714285714286,6007.625680196124,82
ADV-0007,Data Scientists,3,2.7230276873679666,5845.714285714286,7242.776815134719,65
ADV-0008,Data Scientists,10,8.711536234937999,6971.428571428571,6911.833363215542,121
ADV-0008,Project Managers,7,5.794061764507226,4880.0,4978.040002021152,75
ADV-0008,UX/UI Designers,7,8.027632499349682,4880.0,4534.253047071325,156
ADV-0008,Junior Developers,10,10.804576879866614,6971.428571428571,5761.563053114887,166
ADV-0009,Business Analysts,6,6.484998160522792,9462.857142857143,11884.060905296412,179
ADV-0009,DevOps Engineers,1,1.1617811246249976,1577.1428571428573,1946.9506085307642,155
ADV-0009,QA Engineers,2,1.9938936389609991,3154.2857142857147,3448.00570093423,123
ADV-0009,Project Managers,1,0.8983274348090299,1577.1428571428573,1627.5611677529998,119
ADV-0009,UX/UI Designers,6,7.0854336348800935,9462.857142857143,9157.239094714145,189
ADV-0010,Senior Developers,4,4.6378683224842625,9165.714285714286,10252.245044922754,153
ADV-0010,UX/UI Designers,3,2.9504461388010457,6874.285714285714,8695.750056203215,187
ADV-0010,DevOps Engineers,7,5.742247251129038,16040.0,15257.213837237457,101
ADV-0010,Business Analysts,3,3.520296547208027,6874.285714285714,8431.751973737184,83
ADV-0010,Project Managers,4,3.3347408178833575,9165.714285714286,9703.155886531185,169
ADV-0011,Senior Developers,3,2.742484882156107,6411.428571428572,7265.454273907712,196
ADV-0011,Project Managers,3,2.7677308038602915,6411.428571428572,6507.10205557663,182
ADV-0011,Junior Developers,3,3.2610736591782428,6411.428571428572,5915.999734196229,178
ADV-0012,Project Managers,4,3.860285197406639,7817.142857142857,6272.742804779225,61
ADV-0012,DevOps Engineers,7,5.669075872713364,13680.0,14426.640484448204,73
ADV-0012,Business Analysts,4,4.793589838561119,7817.142857142857,8338.188113838734,107
ADV-0012,Data Scientists,9,9.48695395449269,17588.571428571428,21507.67530862848,192
ADV-0012,QA Engineers,6,7.020154935472933,11725.714285714284,10592.996660693096,123
ADV-0013,Junior Developers,1,0.9366281548126272,1348.5714285714287,1729.9540577311107,51
ADV-0013,Senior Developers,12,13.71906684012794,16182.857142857143,21021.34901183141,75
ADV-0013,DevOps Engineers,8,8.928266399908601,10788.57142857143,9492.143050300518,74
ADV-0014,Senior Developers,1,1.0532340505984954,897.1428571428571,772.2629306218428,195
ADV-0014,QA Engineers,1,0.8536099577275967,897.1428571428571,997.5078999878643,114
ADV-0014,Project Managers,8,6.845767483865326,7177.142857142857,8771.135671871561,93
ADV-0014,Data Scientists,7,7.48257514940002,6280.0,5277.303069608297,172
ADV-0015,QA Engineers,3,3.3906418098244986,2811.428571428571,3565.5849114418024,95
ADV-0015,Junior Developers,9,7.732268776304582,8434.285714285714,10830.50356889614,134
ADV-0015,Senior Developers,4,4.107909132837167,3748.5714285714284,3341.6509794658473,143
ADV-0015,Project Managers,9,10.657320388639668,8434.285714285714,6818.989813913224,80
ADV-0016,Senior Developers,3,2.4168174210312685,2708.571428571429,2360.603901688265,154
ADV-0016,Project Managers,3,3.1991365992965566,2708.571428571429,3429.4128656529742,70
ADV-0016,Junior Developers,2,2.033612238783781,1805.7142857142858,1456.5624579797468,142
ADV-0016,DevOps Engineers,4,3.315541096536301,3611.4285714285716,3790.136402135832,74
ADV-0016,UX/UI Designers,2,1.7681535749750772,1805.7142857142858,2135.7477280622516,116
ADV-0017,QA Engineers,1,1.1439762856733637,2537.1428571428573,2710.3353432191175,196
ADV-0017,Data Scientists,6,5.001098334115828,15222.857142857143,16804.34788699642,84
ADV-0017,DevOps Engineers,6,6.2038341455489325,15222.857142857143,17982.259076097213,152
ADV-0017,Junior Developers,7,5.9344568751,17760.0,14486.322899466737,173
ADV-0017,UX/UI Designers,7,6.178296331121618,17760.0,22505.65152556152,153
ADV-0018,Project Managers,9,9.07517584241104,19028.571428571428,23466.520116055166,65
ADV-0018,Business Analysts,3,2.756274809121652,6342.857142857142,5900.9983574058815,88
ADV-0018,Senior Developers,1,0.8362883530991324,2114.285714285714,1796.3369600579485,161
ADV-0018,Junior Developers,10,8.407567015886212,21142.85714285714,21645.030548251943,177
ADV-0019,QA Engineers,2,1.8848538392953158,742.8571428571429,825.7369171063353,64
ADV-0019,UX/UI Designers,4,3.6386624602756803,1485.7142857142858,1260.3615768081904,123
ADV-0019,DevOps Engineers,2,2.293276550876403,742.8571428571429,641.3835253899395,139
ADV-0019,Junior Developers,5,4.855083710719424,1857.1428571428573,1603.745455805094,78
ADV-0019,Project Managers,7,7.22769885523015,2600.0,3189.1285559351404,82
ADV-0020,Junior Developers,1,0.9898177400634225,1462.8571428571427,1310.479593201572,191
ADV-0020,Business Analysts,7,7.974968759948107,10240.0,10210.25533235153,152
ADV-0020,Senior Developers,7,6.548111441515371,10240.0,12315.987369167806,82
ADV-0020,QA Engineers,10,10.351609299579259,14628.571428571428,15756.343961635044,66
ADV-0021,Business Analysts,4,4.4703281355449445,9371.42857142857,8613.922929799757,150
ADV-0021,QA Engineers,3,2.528185191556789,7028.571428571428,6796.788641590144,137
ADV-0021,UX/UI Designers,8,8.890970901700479,18742.85714285714,15990.14905062588,176
ADV-0021,Project Managers,1,0.9292580869117669,2342.8571428571427,1915.4722646033988,65
ADV-0022,Business Analysts,9,8.810289922509362,9874.285714285714,9659.81090226761,66
ADV-0022,Junior Developers,1,0.9103795312628751,1097.142857142857,1150.6375827425466,115
ADV-0022,Senior Developers,1,0.8084599293397665,1097.142857142857,1266.8138754600784,52
ADV-0022,QA Engineers,6,5.612959093858635,6582.857142857142,7819.990157467458,50
ADV-0022,UX/UI Designers,7,7.6775870951532825,7680.0,6931.120254051498,75
ADV-0023,Data Scientists,1,1.1497592126833323,2382.8571428571427,2142.4225518223875,95
ADV-0023,QA Engineers,12,11.132281429373705,28594.285714285714,33207.73887620094,78
ADV-0023,Senior Developers,3,3.023048369524152,7148.571428571428,6675.075185259076,73
ADV-0023,Project Managers,8,8.751229724318012,19062.85714285714,20809.741124731503,81
ADV-0023,UX/UI Designers,7,6.355278904446548,16680.0,17887.837795116422,75
ADV-0024,DevOps Engineers,1,1.1956501276434932,1817.1428571428573,2052.373641402299,197
ADV-0024,Senior Developers,7,5.745666514082452,12720.0,14450.298436928637,102
ADV-0024,QA Engineers,4,4.799137089695477,7268.571428571429,5829.097636965117,80
ADV-0024,Project Managers,1,1.0038904301152718,1817.1428571428573,2168.50833910076,136
ADV-0024,Junior Developers,3,2.741609686615756,5451.428571428572,4773.446078221123,150
ADV-0024,Data Scientists,6,6.095188293367566,10902.857142857143,12845.256185824004,157
ADV-0025,Senior Developers,3,3.166020078156877,1405.7142857142856,1560.7342410507736,99
ADV-0025,UX/UI Designers,10,11.207303599502062,4685.714285714285,5241.914384547319,124
