project_id,month,planned_budget,actual_budget,variance
Project_1,May,88183,84708,-3475
Project_1,Oct,78189,91047,12858
Project_1,Feb,86769,77983,-8786
Project_1,Jul,84566,100153,15587
Project_1,Sep,89937,77074,-12863
Project_1,Mar,78296,67810,-10486
Project_1,Dec,76584,73254,-3330
Project_1,Jan,86043,103652,17609
Project_2,Jan,51347,48525,-2822
Project_2,Apr,41760,43629,1869
Project_2,Feb,42734,44846,2112
Project_2,Oct,39380,48751,9371
Project_2,May,42417,34950,-7467
Project_2,Aug,53327,72938,19611
Project_3,Dec,69430,63458,-5972
Project_3,Feb,72215,93575,21360
Project_3,Apr,88951,92481,3530
Project_3,Nov,71056,69370,-1686
Project_3,Jul,69809,94312,24503
Project_3,Jan,88357,67860,-20497
Project_3,Oct,76695,89717,13022
Project_3,Aug,87310,69678,-17632
Project_3,May,85778,77775,-8003
Project_3,Sep,81489,99297,17808
Project_4,Aug,43050,45248,2198
Project_4,Apr,28496,23822,-4674
Project_4,Jan,35755,42597,6842
Project_4,Oct,28211,20750,-7461
Project_4,Mar,37119,41024,3905
Project_4,Dec,34682,40592,5910
Project_5,Dec,49107,43709,-5398
Project_5,May,45578,51777,6199
Project_5,Aug,30475,25479,-4996
Project_5,Jul,33741,40140,6399
Project_5,Mar,36678,44316,7638
Project_5,Feb,34064,36155,2091
Project_5,Apr,47676,34743,-12933
Project_5,Jan,37910,33724,-4186
Project_6,Aug,32977,33295,318
Project_6,Mar,29488,31978,2490
Project_6,Nov,33024,27344,-5680
Project_6,Apr,32325,37069,4744
Project_6,Jan,29581,35986,6405
Project_6,Jun,25743,25870,127
Project_6,Sep,24211,21146,-3065
Project_6,Feb,17760,14404,-3356
Project_6,May,23334,16568,-6766
Project_7,Aug,45663,44701,-962
Project_7,Mar,55280,63271,7991
Project_7,Oct,44060,38888,-5172
Project_7,Jul,53133,55906,2773
Project_7,Jun,50418,58539,8121
Project_7,Feb,45822,51829,6007
Project_7,Sep,47089,64087,16998
Project_7,Nov,57558,63891,6333
Project_7,Apr,42062,46387,4325
Project_7,Jan,48044,52913,4869
Project_7,May,45211,57320,12109
Project_8,Jun,56867,40532,-16335
Project_8,Jul,55576,51996,-3580
Project_8,Dec,69775,82134,12359
Project_8,Sep,64755,82247,17492
Project_8,Apr,62302,65244,2942
Project_8,Nov,70703,83975,13272
Project_8,Feb,64832,85204,20372
Project_8,Aug,61081,60626,-455
Project_9,Dec,57268,62611,5343
Project_9,Jun,61954,61972,18
Project_9,Feb,55555,67662,12107
Project_9,Nov,52825,40790,-12035
Project_9,Jul,63495,68195,4700
Project_9,Aug,58698,75046,16348
Project_9,Mar,67660,61458,-6202
Project_9,Jan,57097,55523,-1574
Project_9,May,66690,91430,24740
Project_9,Oct,54082,51293,-2789
Project_10,Feb,56586,70887,14301
Project_10,Aug,73959,99966,26007
Project_10,Jul,66593,93040,26447
Project_10,Jun,60148,60693,545
Project_10,Jan,60753,65743,4990
Project_10,Dec,62220,85742,23522
Project_10,Nov,70787,87284,16497
Project_10,Sep,57958,75739,17781
Project_10,May,66912,50777,-16135
Project_11,Dec,55769,72733,16964
Project_11,Jun,59711,75770,16059
Project_11,Apr,49456,68753,19297
Project_11,Jan,45103,53930,8827
Project_11,May,43772,54452,10680
Project_11,Jul,47263,56411,9148
Project_11,Nov,57447,60022,2575
Project_11,Mar,46710,45945,-765
Project_11,Feb,45671,33769,-11902
Project_11,Sep,55078,70276,15198
Project_12,Jul,62592,57952,-4640
Project_12,Dec,71743,53926,-17817
Project_12,Apr,74583,56146,-18437
Project_12,Feb,66930,76338,9408
Project_12,May,66385,60154,-6231
Project_12,Jun,80708,91949,11241
Project_13,Jan,74690,70757,-3933
Project_13,Dec,71510,53948,-17562
Project_13,Feb,75806,105396,29590
Project_13,Oct,85808,62006,-23802
Project_13,May,76291,69933,-6358
Project_13,Nov,73750,65613,-8137
Project_13,Apr,72552,54656,-17896
Project_13,Jun,83648,114167,30519
Project_13,Aug,87610,96967,9357
Project_13,Sep,81107,80520,-587
Project_13,Jul,90226,118526,28300
Project_14,Apr,26128,33691,7563
Project_14,Oct,32930,24515,-8415
Project_14,Dec,29502,29218,-284
Project_14,Mar,19542,13866,-5676
Project_14,Nov,34316,44792,10476
Project_14,Feb,37542,40321,2779
Project_14,Sep,29018,40556,11538
Project_14,Jun,37002,41057,4055
Project_15,Apr,86032,72702,-13330
Project_15,Sep,73476,85980,12504
Project_15,Jul,78947,57854,-21093
Project_15,Feb,83362,64979,-18383
Project_15,Aug,83421,87484,4063
Project_15,Jun,79289,101645,22356
Project_15,Dec,73295,93192,19897
Project_15,Jan,77359,84526,7167
Project_15,Mar,73790,72494,-1296
Project_15,Nov,88130,63466,-24664
Project_16,Jan,51143,48267,-2876
Project_16,Oct,50484,49352,-1132
Project_16,Sep,45788,48833,3045
Project_16,Dec,51254,69944,18690
Project_16,Aug,47977,49010,1033
Project_16,Nov,60790,63494,2704
Project_16,Apr,60897,45451,-15446
Project_16,Jun,45098,62506,17408
Project_16,Jul,55322,52179,-3143
Project_16,Mar,47203,53970,6767
Project_17,Feb,36537,38753,2216
Project_17,Jun,50326,41298,-9028
Project_17,Jan,44585,32484,-12101
Project_17,May,46162,43546,-2616
Project_17,Apr,46987,50938,3951
Project_17,Dec,39647,37632,-2015
Project_17,Nov,52248,41282,-10966
Project_17,Aug,47395,43845,-3550
Project_18,Jul,46838,65122,18284
Project_18,Apr,29480,28281,-1199
Project_18,Nov,42191,36507,-5684
Project_18,Feb,37328,40011,2683
Project_18,Jan,44923,54951,10028
Project_18,May,33799,27154,-6645
Project_18,Mar,34304,40513,6209
Project_19,Jul,83808,71070,-12738
Project_19,Sep,82637,64773,-17864
Project_19,Dec,72416,68074,-4342
Project_19,Apr,72296,84974,12678
Project_19,May,74386,85854,11468
Project_19,Jan,72499,78007,5508
Project_19,Aug,80497,87775,7278
Project_19,Mar,78327,78496,169
Project_19,Jun,72866,70325,-2541
Project_19,Oct,85251,98221,12970
Project_19,Feb,67889,59134,-8755
Project_20,Oct,39507,29193,-10314
Project_20,Jul,38635,28440,-10195
Project_20,Mar,28179,27820,-359
Project_20,Feb,36376,50856,14480
Project_20,Apr,41978,41075,-903
Project_20,Aug,39632,53193,13561
Project_20,Dec,34426,47595,13169
Project_20,Nov,39506,32379,-7127
Project_21,Jan,77195,67135,-10060
Project_21,Jul,66424,74888,8464
Project_21,Dec,76983,58592,-18391
Project_21,Jun,66293,53568,-12725
Project_21,Nov,71364,76560,5196
Project_21,Oct,77353,78744,1391
Project_21,Apr,81020,60308,-20712
Project_21,May,66595,56020,-10575
Project_22,Dec,45207,62183,16976
Project_22,Jul,34896,42280,7384
Project_22,Oct,38244,32258,-5986
Project_22,Feb,41150,30720,-10430
Project_22,Jun,38403,46280,7877
Project_22,Mar,38939,48559,9620
Project_22,Aug,42052,51528,9476
Project_23,Apr,50969,60045,9076
Project_23,Jul,41959,50336,8377
Project_23,Jan,39392,40332,940
Project_23,Sep,39014,42051,3037
Project_23,Feb,37119,39045,1926
Project_23,Jun,51545,48903,-2642
Project_23,Aug,43695,42328,-1367
Project_23,Dec,50830,37951,-12879
Project_23,Oct,36467,39384,2917
Project_24,Sep,16341,22851,6510
Project_24,Dec,17042,20363,3321
Project_24,Oct,33256,26611,-6645
Project_24,Jan,18165,19961,1796
Project_24,May,20534,26976,6442
Project_24,Apr,27026,20865,-6161
Project_24,Feb,22293,22736,443
Project_24,Aug,23785,25012,1227
Project_24,Nov,30304,29887,-417
Project_24,Jul,19678,23692,4014
Project_24,Mar,32400,36252,3852
Project_25,Jan,35837,28575,-7262
Project_25,Sep,36930,41657,4727
Project_25,Aug,26284,29308,3024
Project_25,Nov,32604,35720,3116
Project_25,Jul,39092,48984,9892
Project_25,Feb,31416,36315,4899
Project_25,Jun,34252,32954,-1298
Project_25,Mar,32653,25239,-7414
Project_25,Dec,28825,38853,10028
Project_26,Sep,56990,55024,-1966
Project_26,Nov,63806,59635,-4171
Project_26,Feb,74173,92824,18651
Project_26,Mar,67506,52653,-14853
Project_26,Aug,71202,92880,21678
Project_26,Jan,62255,58671,-3584
Project_27,Dec,56905,48600,-8305
Project_27,Sep,68389,79637,11248
Project_27,Jul,69498,96107,26609
Project_27,Aug,71964,57863,-14101
Project_27,May,62064,51458,-10606
Project_27,Apr,62132,56972,-5160
Project_27,Oct,61329,75126,13797
Project_28,Jun,26877,26353,-524
Project_28,Apr,27442,33911,6469
Project_28,Jul,41364,53907,12543
Project_28,May,29683,36429,6746
Project_28,Sep,26518,23588,-2930
Project_28,Oct,31738,33915,2177
Project_28,Feb,36067,49961,13894
Project_28,Nov,41491,48181,6690
Project_29,Feb,58040,69913,11873
Project_29,Apr,62956,54785,-8171
Project_29,Jun,64489,83770,19281
Project_29,Dec,73908,101538,27630
Project_29,Jan,63342,50594,-12748
Project_29,May,70056,64927,-5129
Project_30,Apr,77034,103028,25994
Project_30,Feb,88307,77851,-10456
Project_30,Sep,69738,66539,-3199
Project_30,Jun,79711,70755,-8956
Project_30,Aug,82925,78085,-4840
Project_30,Mar,69608,75624,6016
Project_30,May,75412,64376,-11036
