project_id,stage,stage_number
Project_1,Plan,1
Project_2,Plan,1
Project_3,Plan,1
Project_4,Plan,1
Project_5,Plan,1
Project_6,Plan,1
Project_7,Plan,1
Project_8,Plan,1
Project_9,Plan,1
Project_10,Plan,1
Project_11,Plan,1
Project_12,Plan,1
Project_13,Plan,1
Project_14,Design,2
Project_15,Design,2
Project_16,Design,2
Project_17,Design,2
Project_18,Design,2
Project_19,Design,2
Project_20,Design,2
Project_21,Design,2
Project_22,Pre-construction,3
Project_23,Pre-construction,3
Project_24,Pre-construction,3
Project_25,Pre-construction,3
Project_26,Construction,4
Project_27,Construction,4
Project_28,Construction,4
Project_29,Closeout,5
Project_30,Closeout,5
