project_id,status,completion_percent,amount_spent,days_used
Project_1,Completed,100,800111,1359
Project_2,Not Started,0,3029,50
Project_3,Completed,100,500794,1400
Project_4,Completed,100,204057,1257
Project_5,Completed,100,801332,1156
Project_6,Completed,100,689935,1224
Project_7,In Progress,73,249203,273
Project_8,Not Started,0,4986,21
Project_9,Not Started,0,10084,31
Project_10,Not Started,0,10855,15
Project_11,Not Started,0,3058,4
Project_12,Completed,100,604308,1381
Project_13,Not Started,0,21128,51
Project_14,Not Started,0,10469,12
Project_15,Not Started,0,8288,7
Project_16,Not Started,0,18852,18
Project_17,Completed,100,897189,950
Project_18,Completed,100,537430,588
Project_19,Completed,100,892151,1352
Project_20,Completed,100,456476,1234
Project_21,Not Started,0,11339,11
Project_22,Not Started,0,20305,46
Project_23,Completed,100,134438,601
Project_24,Not Started,0,5336,6
Project_25,Completed,100,114356,403
Project_26,Completed,100,802524,930
Project_27,Completed,100,346286,1138
Project_28,Completed,100,661542,661
Project_29,In Progress,51,1014432,1140
Project_30,Completed,100,304798,721
