project_id,resource_type,planned_resources,actual_resources
Project_1,Project Managers,28,36
Project_1,Architects,27,32
Project_1,Engineers,21,21
Project_1,Supervisors,21,19
Project_2,Architects,26,29
Project_2,Contractors,18,23
Project_2,Project Managers,17,19
Project_2,Engineers,9,7
Project_3,Project Managers,6,6
Project_3,Contractors,29,30
Project_3,Engineers,16,14
Project_3,Architects,14,12
Project_4,Contractors,12,11
Project_4,Supervisors,17,19
Project_4,Architects,11,11
Project_4,Project Managers,21,21
Project_4,Engineers,18,14
Project_5,Architects,8,9
Project_5,Contractors,25,30
Project_5,Supervisors,15,14
Project_5,Engineers,21,24
Project_6,Engineers,26,22
Project_6,Supervisors,28,25
Project_6,Contractors,8,8
Project_6,Project Managers,23,25
Project_6,Architects,15,18
Project_7,Contractors,6,5
Project_7,Engineers,13,12
Project_7,Architects,5,5
Project_7,Project Managers,15,16
Project_7,Supervisors,29,26
Project_8,Contractors,10,10
Project_8,Supervisors,23,22
Project_8,Project Managers,21,18
Project_8,Engineers,14,16
Project_8,Architects,21,18
Project_9,Architects,21,23
Project_9,Engineers,26,29
Project_9,Supervisors,12,11
Project_9,Contractors,29,32
Project_10,Project Managers,19,15
Project_10,Supervisors,20,25
Project_10,Contractors,27,29
Project_10,Engineers,26,32
Project_10,Architects,18,15
Project_11,Contractors,27,32
Project_11,Supervisors,24,29
Project_11,Architects,22,23
Project_11,Project Managers,11,9
Project_11,Engineers,28,25
Project_12,Supervisors,12,12
Project_12,Contractors,27,22
Project_12,Engineers,19,22
Project_13,Project Managers,20,20
Project_13,Contractors,16,14
Project_13,Architects,27,27
Project_14,Architects,22,27
Project_14,Contractors,7,5
Project_14,Engineers,18,17
Project_14,Supervisors,21,21
Project_15,Architects,14,11
Project_15,Supervisors,11,11
Project_15,Project Managers,5,4
Project_16,Engineers,8,9
Project_16,Project Managers,9,7
Project_16,Contractors,5,6
Project_16,Architects,19,19
Project_16,Supervisors,21,20
Project_17,Supervisors,15,16
Project_17,Project Managers,11,13
Project_17,Contractors,18,19
Project_17,Engineers,17,22
Project_17,Architects,11,14
Project_18,Supervisors,25,30
Project_18,Architects,18,16
Project_18,Project Managers,6,5
Project_18,Engineers,13,11
Project_18,Contractors,7,8
Project_19,Contractors,21,22
Project_19,Engineers,24,31
Project_19,Project Managers,14,14
Project_20,Supervisors,7,6
Project_20,Architects,28,32
Project_20,Project Managers,29,31
Project_20,Contractors,18,22
Project_21,Architects,13,10
Project_21,Supervisors,6,7
Project_21,Project Managers,13,12
Project_21,Contractors,29,31
Project_21,Engineers,6,6
Project_22,Contractors,10,12
Project_22,Supervisors,20,22
Project_22,Architects,9,11
Project_22,Engineers,22,23
Project_22,Project Managers,23,27
Project_23,Architects,10,10
Project_23,Supervisors,20,22
Project_23,Contractors,5,4
Project_23,Engineers,20,23
Project_24,Project Managers,8,8
Project_24,Architects,10,8
Project_24,Contractors,9,11
Project_24,Engineers,29,23
Project_24,Supervisors,27,21
Project_25,Contractors,22,26
Project_25,Engineers,18,21
Project_25,Project Managers,16,12
Project_25,Architects,17,18
Project_25,Supervisors,21,22
Project_26,Supervisors,20,17
Project_26,Project Managers,11,11
Project_26,Engineers,6,5
Project_26,Contractors,19,24
Project_26,Architects,26,32
Project_27,Supervisors,26,30
Project_27,Architects,26,25
Project_27,Engineers,28,23
Project_27,Project Managers,22,28
Project_28,Architects,24,28
Project_28,Engineers,11,9
Project_28,Project Managers,5,4
Project_28,Contractors,19,22
Project_28,Supervisors,15,17
Project_29,Project Managers,8,8
Project_29,Engineers,17,20
Project_29,Contractors,19,22
Project_29,Supervisors,15,13
Project_30,Supervisors,7,8
Project_30,Engineers,16,13
Project_30,Project Managers,25,31
Project_30,Architects,9,10
